RESPONSE,POLARITY_PROB,POLARITY,EMOTION_PROB,EMOTION,IRONY_PROB,IRONY
"Considering the context, sharing personal info with a trusted friend seems done with good intentions – emotional support. This purpose feels genuine, aiming to deepen our friendship and trust. I'd rate this statement a 5, believing the purpose is indeed legitimate.","{'NEG': 0.0011770217679440975, 'NEU': 0.02551957406103611, 'POS': 0.973303496837616}",POS,"{'others': 0.9680815935134888, 'joy': 0.02160572074353695, 'sadness': 0.0018932560924440622, 'anger': 0.0007523182430304587, 'surprise': 0.002580486936494708, 'disgust': 0.0020488244481384754, 'fear': 0.0030378741212189198}",others,"{'not ironic': 0.9013763070106506, 'ironic': 0.09862367063760757}",not ironic
"That's a fair point, but thinking step-by-step, sharing personal info with a trusted friend is still a big thing. Most people might not feel comfortable opening up to anyone, let alone risking judgment or misunderstanding. I'd rate this statement a 2 – it's not a certainty, but possible.","{'NEG': 0.014252913184463978, 'NEU': 0.5683037638664246, 'POS': 0.4174433648586273}",NEU,"{'others': 0.9715167284011841, 'joy': 0.005911266431212425, 'sadness': 0.004724257625639439, 'anger': 0.0009474415564909577, 'surprise': 0.00294246687553823, 'disgust': 0.008674454875290394, 'fear': 0.005283325910568237}",others,"{'not ironic': 0.9602128863334656, 'ironic': 0.03978713974356651}",not ironic
"Being open about your sexuality with someone from school could lead to some complicated feelings – especially if they're not understanding. It's a sensitive topic, and I'd want to choose someone I really trust before sharing something that personal.","{'NEG': 0.17462541162967682, 'NEU': 0.8119601607322693, 'POS': 0.01341440249234438}",NEU,"{'others': 0.9343059659004211, 'joy': 0.011208831332623959, 'sadness': 0.009264848195016384, 'anger': 0.0012449274072423577, 'surprise': 0.004228538833558559, 'disgust': 0.004520423244684935, 'fear': 0.03522639349102974}",others,"{'not ironic': 0.9510249495506287, 'ironic': 0.04897502064704895}",not ironic
"Sharing personal info like my sexual orientation with a classmate might not be the most ideal choice, considering school dynamics and potential gossip. Rating this statement, I'd give it a 2 – it's not necessarily the best decision, depending on the classmate and school environment.","{'NEG': 0.33821767568588257, 'NEU': 0.6534061431884766, 'POS': 0.0083761652931571}",NEU,"{'others': 0.9774767756462097, 'joy': 0.01011627446860075, 'sadness': 0.001809261622838676, 'anger': 0.0008354766760021448, 'surprise': 0.0032034653704613447, 'disgust': 0.003174198092892766, 'fear': 0.0033846311271190643}",others,"{'not ironic': 0.9523782730102539, 'ironic': 0.047621652483940125}",not ironic
"With a classmate, there's always some uncertainty about how they'll react. They might not fully grasp the significance of keeping confidential information private. I'd rate this statement a 3 – it's hard to be completely sure about someone's behavior in this situation.","{'NEG': 0.45469868183135986, 'NEU': 0.5348965525627136, 'POS': 0.010404852218925953}",NEU,"{'others': 0.9722775220870972, 'joy': 0.00725601427257061, 'sadness': 0.0031403026077896357, 'anger': 0.0008036027429625392, 'surprise': 0.00402061827480793, 'disgust': 0.006619233172386885, 'fear': 0.005882774479687214}",others,"{'not ironic': 0.9491272568702698, 'ironic': 0.050872739404439926}",not ironic
"Considering the context, sharing info with a classmate for emotional support might sound good on paper, but there's a risk it could lead to gossip or awkwardness. Rating this statement, I'd give it a 4 – I think the intention might be genuine, but there's room for complications.","{'NEG': 0.07339514791965485, 'NEU': 0.8878417611122131, 'POS': 0.03876302391290665}",NEU,"{'others': 0.9732349514961243, 'joy': 0.007958495989441872, 'sadness': 0.0013464323710650206, 'anger': 0.0007966866833157837, 'surprise': 0.005388739984482527, 'disgust': 0.004716824274510145, 'fear': 0.00655791163444519}",others,"{'not ironic': 0.956733226776123, 'ironic': 0.04326675832271576}",not ironic
"To be honest, sharing personal stuff with a classmate isn't something everyone's comfy with. There's always a chance they might not keep things private. I'd rate this statement a 2 – most people tend to keep such info within closer circles.","{'NEG': 0.15756894648075104, 'NEU': 0.8251233100891113, 'POS': 0.017307739704847336}",NEU,"{'others': 0.9530072212219238, 'joy': 0.006618843413889408, 'sadness': 0.004854281432926655, 'anger': 0.0011495421640574932, 'surprise': 0.0025529402773827314, 'disgust': 0.026888635009527206, 'fear': 0.004928440786898136}",others,"{'not ironic': 0.9508874416351318, 'ironic': 0.04911261424422264}",not ironic
"Opening up about my faith with someone as close as a best friend seems like a natural fit. I think sharing this aspect of myself could bring us even closer and deepen our trust – it's a personal thing, but with someone I care about, I'd feel comfortable discussing it.","{'NEG': 0.0012216357281431556, 'NEU': 0.03461840748786926, 'POS': 0.9641599655151367}",POS,"{'others': 0.8950201869010925, 'joy': 0.09280581027269363, 'sadness': 0.003410985926166177, 'anger': 0.0009150882251560688, 'surprise': 0.0028862340841442347, 'disgust': 0.0015729496954008937, 'fear': 0.003388797165825963}",others,"{'not ironic': 0.9542595148086548, 'ironic': 0.04574054107069969}",not ironic
"Considering I'm sharing something personal like my faith with someone I trust deeply, I think it's suitable. It's not something I'd broadcast publicly, but with a close friend, it feels right. I'd rate this statement a 5 – it seems fitting for a best friend.","{'NEG': 0.0010060479398816824, 'NEU': 0.01951306313276291, 'POS': 0.9794808626174927}",POS,"{'others': 0.9492349028587341, 'joy': 0.04074391350150108, 'sadness': 0.001906840712763369, 'anger': 0.000729328952729702, 'surprise': 0.003381487214937806, 'disgust': 0.0015795748913660645, 'fear': 0.0024239534977823496}",others,"{'not ironic': 0.9314929246902466, 'ironic': 0.06850708276033401}",not ironic
"With a best friend, I've built trust over time, and I believe they'd handle sensitive info responsibly. They care about me, and I expect them to respect my confidence. Rating this statement, I'd give it a 5 – I'm confident in their discretion.","{'NEG': 0.0013967572012916207, 'NEU': 0.029728714376688004, 'POS': 0.9688745737075806}",POS,"{'others': 0.9441432356834412, 'joy': 0.04052049294114113, 'sadness': 0.005188999697566032, 'anger': 0.0009971577674150467, 'surprise': 0.0021530103404074907, 'disgust': 0.0018950783414766192, 'fear': 0.0051020304672420025}",others,"{'not ironic': 0.9592876434326172, 'ironic': 0.0407123900949955}",not ironic
"Discussing my faith with a best friend makes sense, considering it's for emotional support. The intent behind sharing this info aligns with strengthening our bond and trust. Rating this statement, I'd give it a 5 – the purpose seems authentic and meaningful.","{'NEG': 0.0010500800563022494, 'NEU': 0.02005930244922638, 'POS': 0.978890597820282}",POS,"{'others': 0.9631589651107788, 'joy': 0.02723119407892227, 'sadness': 0.0013805378694087267, 'anger': 0.0008183219470083714, 'surprise': 0.0033235428854823112, 'disgust': 0.0015737558715045452, 'fear': 0.0025137171614915133}",others,"{'not ironic': 0.9549074769020081, 'ironic': 0.04509258642792702}",not ironic
"When sharing something as intimate as faith with a best friend, I think many people would be okay with it. The dynamic of a close friendship makes it more acceptable. Rating this statement, I'd give it a 4 – while everyone's different, many would likely feel comfortable opening up to a trusted friend.","{'NEG': 0.0011730714468285441, 'NEU': 0.050315048545598984, 'POS': 0.9485117793083191}",POS,"{'others': 0.9204191565513611, 'joy': 0.06908045709133148, 'sadness': 0.0026296074502170086, 'anger': 0.0008167200721800327, 'surprise': 0.003093182109296322, 'disgust': 0.0015607783570885658, 'fear': 0.0024000767152756453}",others,"{'not ironic': 0.9637041687965393, 'ironic': 0.03629589453339577}",not ironic
"Sharing my faith with a friend who cares about me could actually bring a sense of relief and comfort – knowing someone close accepts me for who I am, spiritually included. It feels like a natural part of deepening our friendship.","{'NEG': 0.0011572394287213683, 'NEU': 0.015311980620026588, 'POS': 0.9835308194160461}",POS,"{'others': 0.05964416265487671, 'joy': 0.9264925122261047, 'sadness': 0.007707314565777779, 'anger': 0.0012316441861912608, 'surprise': 0.0020568466279655695, 'disgust': 0.0011388538405299187, 'fear': 0.0017286795191466808}",joy,"{'not ironic': 0.9267968535423279, 'ironic': 0.07320315390825272}",not ironic
"Sharing faith with a friend seems pretty natural to me, we're building trust and understanding each other on a deeper level. Rating this statement, I'd give it a 4 – feels like a good fit for close friends.","{'NEG': 0.001275591435842216, 'NEU': 0.007991443388164043, 'POS': 0.9907329082489014}",POS,"{'others': 0.7504081130027771, 'joy': 0.23842771351337433, 'sadness': 0.0023941765539348125, 'anger': 0.001153490855358541, 'surprise': 0.0036250920966267586, 'disgust': 0.0013666178565472364, 'fear': 0.0026247859932482243}",others,"{'not ironic': 0.9559590816497803, 'ironic': 0.04404090717434883}",not ironic
"My friend seems trustworthy, and they've shown respect for my boundaries before. Rating this statement, I'd give it a 5 – I've got faith in their discretion.","{'NEG': 0.00130340619944036, 'NEU': 0.02053746208548546, 'POS': 0.9781591892242432}",POS,"{'others': 0.9700816869735718, 'joy': 0.019030045717954636, 'sadness': 0.0024496002588421106, 'anger': 0.0007641255506314337, 'surprise': 0.0025458468589931726, 'disgust': 0.002344822743907571, 'fear': 0.0027837667148560286}",others,"{'not ironic': 0.9476828575134277, 'ironic': 0.05231711268424988}",not ironic
"The purpose of sharing my faith feels genuine - it's about building trust and understanding with someone close. Rating this statement, I'd give it a 5 – seems perfectly aligned with our friendship.","{'NEG': 0.001080983434803784, 'NEU': 0.023770997300744057, 'POS': 0.97514808177948}",POS,"{'others': 0.8715710639953613, 'joy': 0.11768988519906998, 'sadness': 0.002430515130981803, 'anger': 0.0010913400910794735, 'surprise': 0.002758198184892535, 'disgust': 0.0013192086480557919, 'fear': 0.0031397161073982716}",others,"{'not ironic': 0.958014190196991, 'ironic': 0.041985780000686646}",not ironic
"This one feels nuanced - people react differently to sharing faith, but with a supportive friend, many might feel okay opening up. Rating this statement, I'd give it a 4 – while not everyone might agree, quite a few probably would.","{'NEG': 0.001895531197078526, 'NEU': 0.23873397707939148, 'POS': 0.7593704462051392}",POS,"{'others': 0.9722834825515747, 'joy': 0.016698384657502174, 'sadness': 0.002248466480523348, 'anger': 0.0007791068637743592, 'surprise': 0.003899182425811887, 'disgust': 0.002314342651516199, 'fear': 0.0017770251724869013}",others,"{'not ironic': 0.9622101783752441, 'ironic': 0.037789784371852875}",not ironic
"Honestly, sharing faith with a classmate might feel a bit tricky, especially if we're not super close. But if they're genuinely trying to support me, it could potentially create a stronger bond between us.","{'NEG': 0.0016182254767045379, 'NEU': 0.0400046706199646, 'POS': 0.9583771228790283}",POS,"{'others': 0.9705829620361328, 'joy': 0.017858460545539856, 'sadness': 0.002326466143131256, 'anger': 0.0007364331395365298, 'surprise': 0.0030578121077269316, 'disgust': 0.0020673396065831184, 'fear': 0.0033705183304846287}",others,"{'not ironic': 0.9488054513931274, 'ironic': 0.051194608211517334}",not ironic
"With a classmate, sharing faith doesn't seem as natural as with a friend, but if they're genuinely looking to support me, it might be okay. Rating this statement, I'd give it a 3 – feels a bit forced, but possible.","{'NEG': 0.002841785317286849, 'NEU': 0.2415439635515213, 'POS': 0.7556142210960388}",POS,"{'others': 0.9756995439529419, 'joy': 0.013773240149021149, 'sadness': 0.0019865655340254307, 'anger': 0.0007212578202597797, 'surprise': 0.003226602915674448, 'disgust': 0.0025176783092319965, 'fear': 0.002075120573863387}",others,"{'not ironic': 0.9634563326835632, 'ironic': 0.03654365986585617}",not ironic
"To be honest, I'm not sure what to expect from a classmate handling this kind of info. They might not be as understanding or respectful. Rating this statement, I'd give it a 2 – trust issues arise when it comes to close info with someone who's not a close friend.","{'NEG': 0.8593266010284424, 'NEU': 0.13757775723934174, 'POS': 0.0030956722330302}",NEG,"{'others': 0.9687246084213257, 'joy': 0.0054743532091379166, 'sadness': 0.003695234190672636, 'anger': 0.0011463180417194963, 'surprise': 0.0028768167831003666, 'disgust': 0.014832046814262867, 'fear': 0.00325056747533381}",others,"{'not ironic': 0.9522274732589722, 'ironic': 0.04777247831225395}",not ironic
"Even with a classmate, sharing my faith might still serve a genuine purpose - building trust and getting support. Rating this statement, I'd give it a 4 – seems like a valid reason to open up.","{'NEG': 0.0013911458663642406, 'NEU': 0.07919008284807205, 'POS': 0.9194186925888062}",POS,"{'others': 0.9405648112297058, 'joy': 0.05046825110912323, 'sadness': 0.00176359829492867, 'anger': 0.0009406082099303603, 'surprise': 0.002614585217088461, 'disgust': 0.0016216642688959837, 'fear': 0.002026369096711278}",others,"{'not ironic': 0.9572498202323914, 'ironic': 0.042750127613544464}",not ironic
"Honestly, most people might not feel too comfy sharing their faith with a classmate, but it depends on the individual. Rating this statement, I'd give it a 1 – doesn't seem very common or natural.","{'NEG': 0.0675245150923729, 'NEU': 0.8951833844184875, 'POS': 0.03729204088449478}",NEU,"{'others': 0.9746412038803101, 'joy': 0.007780581247061491, 'sadness': 0.0029526986181735992, 'anger': 0.0009517362341284752, 'surprise': 0.002703252015635371, 'disgust': 0.008945250883698463, 'fear': 0.0020253316033631563}",others,"{'not ironic': 0.9573351144790649, 'ironic': 0.04266485571861267}",not ironic
"Having someone close know what I'm going through with exam stress actually feels kind of relieving - they can offer advice or just listen, and that helps take some weight off.","{'NEG': 0.0031804912723600864, 'NEU': 0.058580704033374786, 'POS': 0.9382388591766357}",POS,"{'others': 0.783397376537323, 'joy': 0.1978023499250412, 'sadness': 0.007838419638574123, 'anger': 0.0011676475405693054, 'surprise': 0.0038773762062191963, 'disgust': 0.001533219707198441, 'fear': 0.004383648280054331}",others,"{'not ironic': 0.9122507572174072, 'ironic': 0.08774924278259277}",not ironic
"Sharing exam stress with a best friend feels super natural and helpful – they can offer support or advice. Rating this statement, I'd give it a 5 – feels spot on.","{'NEG': 0.0016442503547295928, 'NEU': 0.0147326635196805, 'POS': 0.9836230874061584}",POS,"{'others': 0.23374386131763458, 'joy': 0.7566512227058411, 'sadness': 0.0017323724459856749, 'anger': 0.0014877703506499529, 'surprise': 0.0029134287033230066, 'disgust': 0.0011964688310399652, 'fear': 0.002274805447086692}",joy,"{'not ironic': 0.2138306051492691, 'ironic': 0.7861693501472473}",ironic
"With a close friend, they can generally be counted on to handle sensitive info well. Rating this statement, I'd give it a 5 – they're trustworthy.","{'NEG': 0.0012837755493819714, 'NEU': 0.03242283686995506, 'POS': 0.9662933349609375}",POS,"{'others': 0.940971314907074, 'joy': 0.04859597980976105, 'sadness': 0.0023802451323717833, 'anger': 0.0010817190632224083, 'surprise': 0.0026306211948394775, 'disgust': 0.001668617594987154, 'fear': 0.0026714042760431767}",others,"{'not ironic': 0.8811736106872559, 'ironic': 0.11882638931274414}",not ironic
"The purpose of sharing my exam stress is clearly to get emotional support, and that's a pretty solid reason to open up. Rating this statement, I'd give it a 5 – makes total sense.","{'NEG': 0.002213674131780863, 'NEU': 0.0780988335609436, 'POS': 0.9196875691413879}",POS,"{'others': 0.9545939564704895, 'joy': 0.03563122823834419, 'sadness': 0.0013120559742674232, 'anger': 0.0009490575175732374, 'surprise': 0.0037885394413024187, 'disgust': 0.0014496538788080215, 'fear': 0.0022754953242838383}",others,"{'not ironic': 0.03471876680850983, 'ironic': 0.9652812480926514}",ironic
"I think most people would feel okay opening up to a best friend about exam stress – it's a pretty relatable issue. Rating this statement, I'd give it a 4 – seems pretty reasonable.","{'NEG': 0.0026926815044134855, 'NEU': 0.10322458297014236, 'POS': 0.8940827250480652}",POS,"{'others': 0.9612305164337158, 'joy': 0.02947721816599369, 'sadness': 0.0017427715938538313, 'anger': 0.0009304994018748403, 'surprise': 0.0027492898516356945, 'disgust': 0.0016062890645116568, 'fear': 0.002263345755636692}",others,"{'not ironic': 0.3718927800655365, 'ironic': 0.6281071901321411}",ironic
"It feels a bit vulnerable sharing exam stress with a friend, but if they're someone I trust, it could actually be helpful – they might offer advice or just listen, and that takes some pressure off.","{'NEG': 0.030080899596214294, 'NEU': 0.8309537768363953, 'POS': 0.13896533846855164}",NEU,"{'others': 0.8167502880096436, 'joy': 0.0368405245244503, 'sadness': 0.0803084522485733, 'anger': 0.001862329663708806, 'surprise': 0.0050065661780536175, 'disgust': 0.003066785167902708, 'fear': 0.056165020912885666}",others,"{'not ironic': 0.9487403035163879, 'ironic': 0.05125975236296654}",not ironic
"The type of information being shared – exam stress – feels relatively safe to disclose, especially to someone I trust. Rating this statement, I'd give it a 4 – seems okay.","{'NEG': 0.004592414014041424, 'NEU': 0.2693590521812439, 'POS': 0.7260485291481018}",POS,"{'others': 0.9628080725669861, 'joy': 0.02696842886507511, 'sadness': 0.0014167666668072343, 'anger': 0.0009090012172237039, 'surprise': 0.004338900558650494, 'disgust': 0.0014834877802059054, 'fear': 0.0020754123106598854}",others,"{'not ironic': 0.868143618106842, 'ironic': 0.13185639679431915}",not ironic
"Sharing exam stress with a friend means trusting they'll handle it well, but there's still some doubt – they might not fully understand or offer helpful advice. Rating this statement, I'd give it a 3 – feels somewhat uncertain.","{'NEG': 0.2285245656967163, 'NEU': 0.7238317728042603, 'POS': 0.04764367640018463}",NEU,"{'others': 0.9475647807121277, 'joy': 0.024244898930191994, 'sadness': 0.004320644307881594, 'anger': 0.0007909417618066072, 'surprise': 0.006593998521566391, 'disgust': 0.0015051738591864705, 'fear': 0.014979652129113674}",others,"{'not ironic': 0.955348551273346, 'ironic': 0.04465140402317047}",not ironic
"Sharing exam stress with a friend seems like a legitimate reason – getting emotional support is pretty valid. Rating this statement, I'd give it a 4 – seems reasonable enough.","{'NEG': 0.0018396404339000583, 'NEU': 0.06263157725334167, 'POS': 0.9355286955833435}",POS,"{'others': 0.9668079614639282, 'joy': 0.023568619042634964, 'sadness': 0.001584207289852202, 'anger': 0.00089410284999758, 'surprise': 0.0031897234730422497, 'disgust': 0.0017673008842393756, 'fear': 0.0021880946587771177}",others,"{'not ironic': 0.1940639317035675, 'ironic': 0.8059360384941101}",ironic
"Most people might not necessarily want to share their exam stress with a friend, but it really depends on their relationship and how much they trust each other. Rating this statement, I'd give it a 2 – not everyone's the same in this case.","{'NEG': 0.01862308755517006, 'NEU': 0.8856194019317627, 'POS': 0.09575758874416351}",NEU,"{'others': 0.9695433378219604, 'joy': 0.017659161239862442, 'sadness': 0.004264958668500185, 'anger': 0.0007657880778424442, 'surprise': 0.0024884105660021305, 'disgust': 0.002520439913496375, 'fear': 0.002757952082902193}",others,"{'not ironic': 0.9603808522224426, 'ironic': 0.039619144052267075}",not ironic
"Honestly, feeling a bit vulnerable sharing exam stress with someone outside close friends doesn't feel super safe – even if I trust them as classmates.","{'NEG': 0.9233872890472412, 'NEU': 0.07348047196865082, 'POS': 0.0031322205904871225}",NEG,"{'others': 0.010185293853282928, 'joy': 0.002293581375852227, 'sadness': 0.9730873107910156, 'anger': 0.0010357782011851668, 'surprise': 0.0016273182118311524, 'disgust': 0.0018579629249870777, 'fear': 0.009912712499499321}",sadness,"{'not ironic': 0.9394833445549011, 'ironic': 0.060516685247421265}",not ironic
"The type of information being shared – exam stress – feels somewhat private, but sharing it with a classmate might be okay if it's someone I kinda trust. Rating this statement, I'd give it a 3 – it's a bit of a borderline case.","{'NEG': 0.02064758725464344, 'NEU': 0.899642825126648, 'POS': 0.07970962673425674}",NEU,"{'others': 0.978985071182251, 'joy': 0.007685796823352575, 'sadness': 0.0020676003769040108, 'anger': 0.0008903037523850799, 'surprise': 0.0026634191162884235, 'disgust': 0.005379651207476854, 'fear': 0.002328174188733101}",others,"{'not ironic': 0.9499218463897705, 'ironic': 0.05007818713784218}",not ironic
"With a classmate, I'd say there's a bit less confidence in how they handle sensitive info – depends on how well we know each other. Rating this statement, I'd give it a 2 – not super sure.","{'NEG': 0.16001281142234802, 'NEU': 0.8163517117500305, 'POS': 0.02363554947078228}",NEU,"{'others': 0.977773129940033, 'joy': 0.008345285430550575, 'sadness': 0.0026747656520456076, 'anger': 0.0008988379850052297, 'surprise': 0.002935151569545269, 'disgust': 0.0043335482478141785, 'fear': 0.003039275761693716}",others,"{'not ironic': 0.9578769207000732, 'ironic': 0.042123112827539444}",not ironic
"The purpose of sharing exam stress with a classmate seems pretty straightforward – getting emotional support is a clear goal. Rating this statement, I'd give it a 4 – seems reasonable enough.","{'NEG': 0.009436797350645065, 'NEU': 0.4361536502838135, 'POS': 0.5544095635414124}",POS,"{'others': 0.9752873182296753, 'joy': 0.014759529381990433, 'sadness': 0.0012424426386132836, 'anger': 0.000947925727814436, 'surprise': 0.0034004475455731153, 'disgust': 0.0021272122394293547, 'fear': 0.0022351087536662817}",others,"{'not ironic': 0.8164748549461365, 'ironic': 0.1835251748561859}",not ironic
"Most people might have mixed feelings about sharing exam stress with a classmate – it really depends on their relationship and trust level. Rating this statement, I'd give it a 2 – pretty uncertain.","{'NEG': 0.18490798771381378, 'NEU': 0.7991119623184204, 'POS': 0.01598007045686245}",NEU,"{'others': 0.9718335866928101, 'joy': 0.0166714396327734, 'sadness': 0.0018742040265351534, 'anger': 0.0008549006888642907, 'surprise': 0.004158293828368187, 'disgust': 0.0018680086359381676, 'fear': 0.0027395642828196287}",others,"{'not ironic': 0.9558241367340088, 'ironic': 0.044175807386636734}",not ironic
Sharing future plans with a best friend feels natural – it's nice to have someone who knows what you're working towards and can offer support along the way.,"{'NEG': 0.001189901027828455, 'NEU': 0.014828314073383808, 'POS': 0.9839817881584167}",POS,"{'others': 0.07410819828510284, 'joy': 0.916820228099823, 'sadness': 0.002369330497458577, 'anger': 0.0013016531011089683, 'surprise': 0.0019574754405766726, 'disgust': 0.0010581492679193616, 'fear': 0.002384884050115943}",joy,"{'not ironic': 0.9529606699943542, 'ironic': 0.04703927040100098}",not ironic
"Sharing future plans with a best friend seems perfectly fine – it's something you'd normally discuss with someone close. Rating this statement, I'd give it a 5 – feels completely right.","{'NEG': 0.0012142532505095005, 'NEU': 0.02309684082865715, 'POS': 0.9756888747215271}",POS,"{'others': 0.8102803230285645, 'joy': 0.1797374039888382, 'sadness': 0.001449473900720477, 'anger': 0.0010605765273794532, 'surprise': 0.003392602317035198, 'disgust': 0.001501087797805667, 'fear': 0.002578452695161104}",others,"{'not ironic': 0.18410585820674896, 'ironic': 0.8158941268920898}",ironic
